categoria,porcentagem
"('Open Source', 2)",38
"('Mobile', 1)",38
"('Java', 96)",38
"('Software Engineering', 16)",38
"('Internet', 41)",38
"('Web Development', 17)",38
"('Miscellaneous', 2)",38
"('Microsoft .NET', 34)",38
"('Microsoft', 8)",38
"('Next Generation Databases', 1)",38
"('PowerBuilder', 7)",38
"('Client-Server', 11)",38
"('Computer Graphics', 6)",38
"('Object-Oriented Programming', 4)",38
"('S', 1)",38
"('Networking', 7)",38
"('Theory', 7)",38
"('Programming', 12)",38
"('Python', 6)",38
"('Mobile Technology', 6)",38
"('Business', 12)",38
"('P', 1)",38
"('XML', 4)",38
"('Perl', 6)",38
"('java', 1)",38
"('Microsoft/.NET', 1)",38
"('Miscella', 1)",38
"('Object-Technology Programming', 1)",38
"('', 2)",38
"('internet', 1)",38
"('.NET', 1)",38
"('Algorithmic Art', 1)",38
"('PHP', 1)",38
"('SOA', 1)",38
"('Computer Graph', 1)",38
"('Client Server', 1)",38
"('In Action', 1)",38
"('Software Development', 1)",38
